"","COMP","SEASON","ROUND","LEG","HOMETEAM","AWAYTEAM","RESULT","DATE"
"29","UCL","2008-2009","achtelfinale","1st(1st leg)","Sporting CP","Bayern München","0:5 (0:1)","1st(1st leg): 25/02/2009 19:45"
"30","UCL","2008-2009","achtelfinale","2nd (2nd leg)","Bayern München","Sporting CP","7:1 (4:1)","2nd (2nd leg): 10/03/2009 19:45"
"31","UCL","2008-2009","achtelfinale","1st(1st leg)","Real Madrid","Liverpool FC","0:1 (0:0)","1st(1st leg): 25/02/2009 19:45"
"32","UCL","2008-2009","achtelfinale","2nd (2nd leg)","Liverpool FC","Real Madrid","4:0 (2:0)","2nd (2nd leg): 10/03/2009 19:45"
"33","UCL","2009-2010","achtelfinale","1st(1st leg)","Olympique Lyon","Real Madrid","1:0 (0:0)","1st(1st leg): 16/02/2010 19:45"
"34","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Real Madrid","Olympique Lyon","1:1 (1:0)","2nd (2nd leg): 10/03/2010 19:45"
"35","UCL","2009-2010","achtelfinale","1st(1st leg)","AC Milan","Manchester United","2:3 (1:1)","1st(1st leg): 16/02/2010 19:45"
"36","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Manchester United","AC Milan","4:0 (1:0)","2nd (2nd leg): 10/03/2010 19:45"
"37","UCL","2009-2010","achtelfinale","1st(1st leg)","Bayern München","ACF Fiorentina","2:1 (1:0)","1st(1st leg): 17/02/2010 19:45"
"38","UCL","2009-2010","achtelfinale","2nd (2nd leg)","ACF Fiorentina","Bayern München","3:2 (1:0)","2nd (2nd leg): 09/03/2010 19:45"
"39","UCL","2009-2010","achtelfinale","1st(1st leg)","FC Porto","Arsenal FC","2:1 (1:1)","1st(1st leg): 17/02/2010 19:45"
"40","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Arsenal FC","FC Porto","5:0 (2:0)","2nd (2nd leg): 09/03/2010 19:45"
"41","UCL","2009-2010","achtelfinale","1st(1st leg)","VfB Stuttgart","FC Barcelona","1:1 (1:0)","1st(1st leg): 23/02/2010 19:45"
"42","UCL","2009-2010","achtelfinale","2nd (2nd leg)","FC Barcelona","VfB Stuttgart","4:0 (2:0)","2nd (2nd leg): 17/03/2010 19:45"
"43","UCL","2009-2010","achtelfinale","1st(1st leg)","Olympiakos Piräus","Girondins Bordeaux","0:1 (0:1)","1st(1st leg): 23/02/2010 19:45"
"44","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Girondins Bordeaux","Olympiakos Piräus","2:1 (1:0)","2nd (2nd leg): 17/03/2010 19:45"
"45","UCL","2009-2010","achtelfinale","1st(1st leg)","CSKA Moskva","Sevilla FC","1:1 (0:1)","1st(1st leg): 24/02/2010 17:30"
"46","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Sevilla FC","CSKA Moskva","1:2 (1:1)","2nd (2nd leg): 16/03/2010 19:45"
"47","UCL","2009-2010","achtelfinale","1st(1st leg)","Inter","Chelsea FC","2:1 (1:0)","1st(1st leg): 24/02/2010 19:45"
"48","UCL","2009-2010","achtelfinale","2nd (2nd leg)","Chelsea FC","Inter","0:1 (0:0)","2nd (2nd leg): 16/03/2010 19:45"
"49","UCL","2010-2011","achtelfinale","1st(1st leg)","AC Milan","Tottenham Hotspur","0:1 (0:0)","1st(1st leg): 15/02/2011 19:45"
"50","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Tottenham Hotspur","AC Milan","0:0 (0:0)","2nd (2nd leg): 09/03/2011 19:45"
"51","UCL","2010-2011","achtelfinale","1st(1st leg)","Valencia CF","FC Schalke 04","1:1 (1:0)","1st(1st leg): 15/02/2011 19:45"
"52","UCL","2010-2011","achtelfinale","2nd (2nd leg)","FC Schalke 04","Valencia CF","3:1 (1:1)","2nd (2nd leg): 09/03/2011 19:45"
"53","UCL","2010-2011","achtelfinale","1st(1st leg)","AS Roma","Shakhtar Donetsk","2:3 (1:3)","1st(1st leg): 16/02/2011 19:45"
"54","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Shakhtar Donetsk","AS Roma","3:0 (1:0)","2nd (2nd leg): 08/03/2011 19:45"
"55","UCL","2010-2011","achtelfinale","1st(1st leg)","Arsenal FC","FC Barcelona","2:1 (0:1)","1st(1st leg): 16/02/2011 19:45"
"56","UCL","2010-2011","achtelfinale","2nd (2nd leg)","FC Barcelona","Arsenal FC","3:1 (1:0)","2nd (2nd leg): 08/03/2011 19:45"
"57","UCL","2010-2011","achtelfinale","1st(1st leg)","Olympique Lyon","Real Madrid","1:1 (0:0)","1st(1st leg): 22/02/2011 19:45"
"58","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Real Madrid","Olympique Lyon","3:0 (1:0)","2nd (2nd leg): 16/03/2011 19:45"
"59","UCL","2010-2011","achtelfinale","1st(1st leg)","FC København","Chelsea FC","0:2 (0:1)","1st(1st leg): 22/02/2011 19:45"
"60","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Chelsea FC","FC København","0:0 (0:0)","2nd (2nd leg): 16/03/2011 19:45"
"61","UCL","2010-2011","achtelfinale","1st(1st leg)","Inter","Bayern München","0:1 (0:0)","1st(1st leg): 23/02/2011 19:45"
"62","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Bayern München","Inter","2:3 (2:1)","2nd (2nd leg): 15/03/2011 19:45"
"63","UCL","2010-2011","achtelfinale","1st(1st leg)","Olympique Marseille","Manchester United","0:0 (0:0)","1st(1st leg): 23/02/2011 19:45"
"64","UCL","2010-2011","achtelfinale","2nd (2nd leg)","Manchester United","Olympique Marseille","2:1 (1:0)","2nd (2nd leg): 15/03/2011 19:45"
"65","UCL","2011-2012","achtelfinale","1st(1st leg)","Olympique Lyon","APOEL Nikosia","1:0 (0:0)","1st(1st leg): 14/02/2012 19:45"
"66","UCL","2011-2012","achtelfinale","2nd (2nd leg)","APOEL Nikosia","Olympique Lyon","4:3 (1:0, 1:0, 1:0) pso","2nd (2nd leg): 07/03/2012 19:45"
"67","UCL","2011-2012","achtelfinale","1st(1st leg)","Bayer Leverkusen","FC Barcelona","1:3 (0:1)","1st(1st leg): 14/02/2012 19:45"
"68","UCL","2011-2012","achtelfinale","2nd (2nd leg)","FC Barcelona","Bayer Leverkusen","7:1 (2:0)","2nd (2nd leg): 07/03/2012 19:45"
"69","UCL","2011-2012","achtelfinale","1st(1st leg)","Zenit St. Petersburg","SL Benfica","3:2 (1:1)","1st(1st leg): 15/02/2012 17:00"
"70","UCL","2011-2012","achtelfinale","2nd (2nd leg)","SL Benfica","Zenit St. Petersburg","2:0 (1:0)","2nd (2nd leg): 06/03/2012 19:45"
"71","UCL","2011-2012","achtelfinale","1st(1st leg)","AC Milan","Arsenal FC","4:0 (2:0)","1st(1st leg): 15/02/2012 19:45"
"72","UCL","2011-2012","achtelfinale","2nd (2nd leg)","Arsenal FC","AC Milan","3:0 (3:0)","2nd (2nd leg): 06/03/2012 19:45"
"73","UCL","2011-2012","achtelfinale","1st(1st leg)","CSKA Moskva","Real Madrid","1:1 (0:1)","1st(1st leg): 21/02/2012 17:00"
"74","UCL","2011-2012","achtelfinale","2nd (2nd leg)","Real Madrid","CSKA Moskva","4:1 (1:0)","2nd (2nd leg): 14/03/2012 19:45"
"75","UCL","2011-2012","achtelfinale","1st(1st leg)","SSC Napoli","Chelsea FC","3:1 (2:1)","1st(1st leg): 21/02/2012 19:45"
"76","UCL","2011-2012","achtelfinale","2nd (2nd leg)","Chelsea FC","SSC Napoli","4:1 (1:0, 3:1) aet","2nd (2nd leg): 14/03/2012 19:45"
"77","UCL","2011-2012","achtelfinale","1st(1st leg)","FC Basel","Bayern München","1:0 (0:0)","1st(1st leg): 22/02/2012 19:45"
"78","UCL","2011-2012","achtelfinale","2nd (2nd leg)","Bayern München","FC Basel","7:0 (3:0)","2nd (2nd leg): 13/03/2012 19:45"
"79","UCL","2011-2012","achtelfinale","1st(1st leg)","Olympique Marseille","Inter","1:0 (0:0)","1st(1st leg): 22/02/2012 19:45"
"80","UCL","2011-2012","achtelfinale","2nd (2nd leg)","Inter","Olympique Marseille","2:1 (0:0)","2nd (2nd leg): 13/03/2012 19:45"
"81","UCL","2012-2013","achtelfinale","1st(1st leg)","Celtic FC","Juventus","0:3 (0:1)","1st(1st leg): 12/02/2013 19:45"
"82","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Juventus","Celtic FC","2:0 (1:0)","2nd (2nd leg): 06/03/2013 19:45"
"83","UCL","2012-2013","achtelfinale","1st(1st leg)","Valencia CF","Paris Saint-Germain","1:2 (0:2)","1st(1st leg): 12/02/2013 19:45"
"84","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Paris Saint-Germain","Valencia CF","1:1 (0:0)","2nd (2nd leg): 06/03/2013 19:45"
"85","UCL","2012-2013","achtelfinale","1st(1st leg)","Shakhtar Donetsk","Borussia Dortmund","2:2 (1:1)","1st(1st leg): 13/02/2013 19:45"
"86","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Borussia Dortmund","Shakhtar Donetsk","3:0 (2:0)","2nd (2nd leg): 05/03/2013 19:45"
"87","UCL","2012-2013","achtelfinale","1st(1st leg)","Real Madrid","Manchester United","1:1 (1:1)","1st(1st leg): 13/02/2013 19:45"
"88","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Manchester United","Real Madrid","1:2 (0:0)","2nd (2nd leg): 05/03/2013 19:45"
"89","UCL","2012-2013","achtelfinale","1st(1st leg)","Arsenal FC","Bayern München","1:3 (0:2)","1st(1st leg): 19/02/2013 19:45"
"90","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Bayern München","Arsenal FC","0:2 (0:1)","2nd (2nd leg): 13/03/2013 19:45"
"91","UCL","2012-2013","achtelfinale","1st(1st leg)","FC Porto","Málaga CF","1:0 (0:0)","1st(1st leg): 19/02/2013 19:45"
"92","UCL","2012-2013","achtelfinale","2nd (2nd leg)","Málaga CF","FC Porto","2:0 (1:0)","2nd (2nd leg): 13/03/2013 19:45"
"93","UCL","2012-2013","achtelfinale","1st(1st leg)","Galatasaray","FC Schalke 04","1:1 (1:1)","1st(1st leg): 20/02/2013 19:45"
"94","UCL","2012-2013","achtelfinale","2nd (2nd leg)","FC Schalke 04","Galatasaray","2:3 (1:2)","2nd (2nd leg): 12/03/2013 19:45"
"95","UCL","2012-2013","achtelfinale","1st(1st leg)","AC Milan","FC Barcelona","2:0 (0:0)","1st(1st leg): 20/02/2013 19:45"
"96","UCL","2012-2013","achtelfinale","2nd (2nd leg)","FC Barcelona","AC Milan","4:0 (2:0)","2nd (2nd leg): 12/03/2013 19:45"
"97","UCL","2013-2014","achtelfinale","1st(1st leg)","Manchester City","FC Barcelona","0:2 (0:0)","1st(1st leg): 18/02/2014 19:45"
"98","UCL","2013-2014","achtelfinale","2nd (2nd leg)","FC Barcelona","Manchester City","2:1 (0:0)","2nd (2nd leg): 12/03/2014 19:45"
"99","UCL","2013-2014","achtelfinale","1st(1st leg)","Bayer Leverkusen","Paris Saint-Germain","0:4 (0:3)","1st(1st leg): 18/02/2014 19:45"
"100","UCL","2013-2014","achtelfinale","2nd (2nd leg)","Paris Saint-Germain","Bayer Leverkusen","2:1 (1:1)","2nd (2nd leg): 12/03/2014 19:45"
"101","UCL","2013-2014","achtelfinale","1st(1st leg)","AC Milan","Atlético Madrid","0:1 (0:0)","1st(1st leg): 19/02/2014 19:45"
"102","UCL","2013-2014","achtelfinale","2nd (2nd leg)","Atlético Madrid","AC Milan","4:1 (2:1)","2nd (2nd leg): 11/03/2014 19:45"
"103","UCL","2013-2014","achtelfinale","1st(1st leg)","Arsenal FC","Bayern München","0:2 (0:0)","1st(1st leg): 19/02/2014 19:45"
"104","UCL","2013-2014","achtelfinale","2nd (2nd leg)","Bayern München","Arsenal FC","1:1 (0:0)","2nd (2nd leg): 11/03/2014 19:45"
"105","UCL","2013-2014","achtelfinale","1st(1st leg)","Zenit St. Petersburg","Borussia Dortmund","2:4 (0:2)","1st(1st leg): 25/02/2014 17:00"
"106","UCL","2013-2014","achtelfinale","2nd (2nd leg)","Borussia Dortmund","Zenit St. Petersburg","1:2 (1:1)","2nd (2nd leg): 19/03/2014 19:45"
"107","UCL","2013-2014","achtelfinale","1st(1st leg)","Olympiakos Piräus","Manchester United","2:0 (1:0)","1st(1st leg): 25/02/2014 19:45"
"108","UCL","2013-2014","achtelfinale","2nd (2nd leg)","Manchester United","Olympiakos Piräus","3:0 (2:0)","2nd (2nd leg): 19/03/2014 19:45"
"109","UCL","2013-2014","achtelfinale","1st(1st leg)","Galatasaray","Chelsea FC","1:1 (0:1)","1st(1st leg): 26/02/2014 19:45"
"110","UCL","2013-2014","achtelfinale","2nd (2nd leg)","Chelsea FC","Galatasaray","2:0 (2:0)","2nd (2nd leg): 18/03/2014 19:45"
"111","UCL","2013-2014","achtelfinale","1st(1st leg)","FC Schalke 04","Real Madrid","1:6 (0:2)","1st(1st leg): 26/02/2014 19:45"
"112","UCL","2013-2014","achtelfinale","2nd (2nd leg)","Real Madrid","FC Schalke 04","3:1 (1:1)","2nd (2nd leg): 18/03/2014 19:45"
"113","UCL","2014-2015","achtelfinale","1st(1st leg)","Paris Saint-Germain","Chelsea FC","1:1 (0:1)","1st(1st leg): 17/02/2015 19:45"
"114","UCL","2014-2015","achtelfinale","2nd (2nd leg)","Chelsea FC","Paris Saint-Germain","2:2 (0:0, 1:1) aet","2nd (2nd leg): 11/03/2015 19:45"
"115","UCL","2014-2015","achtelfinale","1st(1st leg)","Shakhtar Donetsk","Bayern München","0:0 (0:0)","1st(1st leg): 17/02/2015 19:45"
"116","UCL","2014-2015","achtelfinale","2nd (2nd leg)","Bayern München","Shakhtar Donetsk","7:0 (2:0)","2nd (2nd leg): 11/03/2015 19:45"
"117","UCL","2014-2015","achtelfinale","1st(1st leg)","FC Schalke 04","Real Madrid","0:2 (0:1)","1st(1st leg): 18/02/2015 19:45"
"118","UCL","2014-2015","achtelfinale","2nd (2nd leg)","Real Madrid","FC Schalke 04","3:4 (2:2)","2nd (2nd leg): 10/03/2015 19:45"
"119","UCL","2014-2015","achtelfinale","1st(1st leg)","FC Basel","FC Porto","1:1 (1:0)","1st(1st leg): 18/02/2015 19:45"
"120","UCL","2014-2015","achtelfinale","2nd (2nd leg)","FC Porto","FC Basel","4:0 (1:0)","2nd (2nd leg): 10/03/2015 19:45"
"121","UCL","2014-2015","achtelfinale","1st(1st leg)","Manchester City","FC Barcelona","1:2 (0:2)","1st(1st leg): 24/02/2015 19:45"
"122","UCL","2014-2015","achtelfinale","2nd (2nd leg)","FC Barcelona","Manchester City","1:0 (1:0)","2nd (2nd leg): 18/03/2015 19:45"
"123","UCL","2014-2015","achtelfinale","1st(1st leg)","Juventus","Borussia Dortmund","2:1 (2:1)","1st(1st leg): 24/02/2015 19:45"
"124","UCL","2014-2015","achtelfinale","2nd (2nd leg)","Borussia Dortmund","Juventus","0:3 (0:1)","2nd (2nd leg): 18/03/2015 19:45"
"125","UCL","2014-2015","achtelfinale","1st(1st leg)","Bayer Leverkusen","Atlético Madrid","1:0 (0:0)","1st(1st leg): 25/02/2015 19:45"
"126","UCL","2014-2015","achtelfinale","2nd (2nd leg)","Atlético Madrid","Bayer Leverkusen","3:2 (1:0, 1:0, 1:0) pso","2nd (2nd leg): 17/03/2015 19:45"
"127","UCL","2014-2015","achtelfinale","1st(1st leg)","Arsenal FC","AS Monaco","1:3 (0:1)","1st(1st leg): 25/02/2015 19:45"
"128","UCL","2014-2015","achtelfinale","2nd (2nd leg)","AS Monaco","Arsenal FC","0:2 (0:1)","2nd (2nd leg): 17/03/2015 19:45"
"129","UCL","2015-2016","achtelfinale","1st(1st leg)","Paris Saint-Germain","Chelsea FC","2:1 (1:1)","1st(1st leg): 16/02/2016 19:45"
"130","UCL","2015-2016","achtelfinale","2nd (2nd leg)","Chelsea FC","Paris Saint-Germain","1:2 (1:1)","2nd (2nd leg): 09/03/2016 19:45"
"131","UCL","2015-2016","achtelfinale","1st(1st leg)","SL Benfica","Zenit St. Petersburg","1:0 (0:0)","1st(1st leg): 16/02/2016 19:45"
"132","UCL","2015-2016","achtelfinale","2nd (2nd leg)","Zenit St. Petersburg","SL Benfica","1:2 (0:0)","2nd (2nd leg): 09/03/2016 17:00"
"133","UCL","2015-2016","achtelfinale","1st(1st leg)","KAA Gent","VfL Wolfsburg","2:3 (0:1)","1st(1st leg): 17/02/2016 19:45"
"134","UCL","2015-2016","achtelfinale","2nd (2nd leg)","VfL Wolfsburg","KAA Gent","1:0 (0:0)","2nd (2nd leg): 08/03/2016 19:45"
"135","UCL","2015-2016","achtelfinale","1st(1st leg)","AS Roma","Real Madrid","0:2 (0:0)","1st(1st leg): 17/02/2016 19:45"
"136","UCL","2015-2016","achtelfinale","2nd (2nd leg)","Real Madrid","AS Roma","2:0 (0:0)","2nd (2nd leg): 08/03/2016 19:45"
"137","UCL","2015-2016","achtelfinale","1st(1st leg)","Arsenal FC","FC Barcelona","0:2 (0:0)","1st(1st leg): 23/02/2016 19:45"
"138","UCL","2015-2016","achtelfinale","2nd (2nd leg)","FC Barcelona","Arsenal FC","3:1 (1:0)","2nd (2nd leg): 16/03/2016 19:45"
"139","UCL","2015-2016","achtelfinale","1st(1st leg)","Juventus","Bayern München","2:2 (0:1)","1st(1st leg): 23/02/2016 19:45"
"140","UCL","2015-2016","achtelfinale","2nd (2nd leg)","Bayern München","Juventus","4:2 (0:2, 2:2) aet","2nd (2nd leg): 16/03/2016 19:45"
"141","UCL","2015-2016","achtelfinale","1st(1st leg)","PSV Eindhoven","Atlético Madrid","0:0 (0:0)","1st(1st leg): 24/02/2016 19:45"
"142","UCL","2015-2016","achtelfinale","2nd (2nd leg)","Atlético Madrid","PSV Eindhoven","8:7 (0:0, 0:0, 0:0) pso","2nd (2nd leg): 15/03/2016 19:45"
"143","UCL","2015-2016","achtelfinale","1st(1st leg)","Dinamo Kiev","Manchester City","1:3 (0:2)","1st(1st leg): 24/02/2016 19:45"
"144","UCL","2015-2016","achtelfinale","2nd (2nd leg)","Manchester City","Dinamo Kiev","0:0 (0:0)","2nd (2nd leg): 15/03/2016 19:45"
"145","UCL","2016-2017","achtelfinale","1st(1st leg)","SL Benfica","Borussia Dortmund","1:0 (0:0)","1st(1st leg): 14/02/2017 19:45"
"146","UCL","2016-2017","achtelfinale","2nd (2nd leg)","Borussia Dortmund","SL Benfica","4:0 (1:0)","2nd (2nd leg): 08/03/2017 19:45"
"147","UCL","2016-2017","achtelfinale","1st(1st leg)","Paris Saint-Germain","FC Barcelona","4:0 (2:0)","1st(1st leg): 14/02/2017 19:45"
"148","UCL","2016-2017","achtelfinale","2nd (2nd leg)","FC Barcelona","Paris Saint-Germain","6:1 (2:0)","2nd (2nd leg): 08/03/2017 19:45"
"149","UCL","2016-2017","achtelfinale","1st(1st leg)","Real Madrid","SSC Napoli","3:1 (1:1)","1st(1st leg): 15/02/2017 19:45"
"150","UCL","2016-2017","achtelfinale","2nd (2nd leg)","SSC Napoli","Real Madrid","1:3 (1:0)","2nd (2nd leg): 07/03/2017 19:45"
"151","UCL","2016-2017","achtelfinale","1st(1st leg)","Bayern München","Arsenal FC","5:1 (1:1)","1st(1st leg): 15/02/2017 19:45"
"152","UCL","2016-2017","achtelfinale","2nd (2nd leg)","Arsenal FC","Bayern München","1:5 (1:0)","2nd (2nd leg): 07/03/2017 19:45"
"153","UCL","2016-2017","achtelfinale","1st(1st leg)","Manchester City","AS Monaco","5:3 (1:2)","1st(1st leg): 21/02/2017 19:45"
"154","UCL","2016-2017","achtelfinale","2nd (2nd leg)","AS Monaco","Manchester City","3:1 (2:0)","2nd (2nd leg): 15/03/2017 19:45"
"155","UCL","2016-2017","achtelfinale","1st(1st leg)","Bayer Leverkusen","Atlético Madrid","2:4 (0:2)","1st(1st leg): 21/02/2017 19:45"
"156","UCL","2016-2017","achtelfinale","2nd (2nd leg)","Atlético Madrid","Bayer Leverkusen","0:0 (0:0)","2nd (2nd leg): 15/03/2017 19:45"
"157","UCL","2016-2017","achtelfinale","1st(1st leg)","FC Porto","Juventus","0:2 (0:0)","1st(1st leg): 22/02/2017 19:45"
"158","UCL","2016-2017","achtelfinale","2nd (2nd leg)","Juventus","FC Porto","1:0 (1:0)","2nd (2nd leg): 14/03/2017 19:45"
"159","UCL","2016-2017","achtelfinale","1st(1st leg)","Sevilla FC","Leicester City","2:1 (1:0)","1st(1st leg): 22/02/2017 19:45"
"160","UCL","2016-2017","achtelfinale","2nd (2nd leg)","Leicester City","Sevilla FC","2:0 (1:0)","2nd (2nd leg): 14/03/2017 19:45"
"161","UCL","2017-2018","achtelfinale","1st(1st leg)","Juventus","Tottenham Hotspur","2:2 (2:1)","1st(1st leg): 13/02/2018 19:45"
"162","UCL","2017-2018","achtelfinale","2nd (2nd leg)","Tottenham Hotspur","Juventus","1:2 (1:0)","2nd (2nd leg): 07/03/2018 19:45"
"163","UCL","2017-2018","achtelfinale","1st(1st leg)","FC Basel","Manchester City","0:4 (0:3)","1st(1st leg): 13/02/2018 19:45"
"164","UCL","2017-2018","achtelfinale","2nd (2nd leg)","Manchester City","FC Basel","1:2 (1:1)","2nd (2nd leg): 07/03/2018 19:45"
"165","UCL","2017-2018","achtelfinale","1st(1st leg)","FC Porto","Liverpool FC","0:5 (0:2)","1st(1st leg): 14/02/2018 19:45"
"166","UCL","2017-2018","achtelfinale","2nd (2nd leg)","Liverpool FC","FC Porto","0:0 (0:0)","2nd (2nd leg): 06/03/2018 19:45"
"167","UCL","2017-2018","achtelfinale","1st(1st leg)","Real Madrid","Paris Saint-Germain","3:1 (1:1)","1st(1st leg): 14/02/2018 19:45"
"168","UCL","2017-2018","achtelfinale","2nd (2nd leg)","Paris Saint-Germain","Real Madrid","1:2 (0:0)","2nd (2nd leg): 06/03/2018 19:45"
"169","UCL","2017-2018","achtelfinale","1st(1st leg)","Chelsea FC","FC Barcelona","1:1 (0:0)","1st(1st leg): 20/02/2018 19:45"
"170","UCL","2017-2018","achtelfinale","2nd (2nd leg)","FC Barcelona","Chelsea FC","3:0 (2:0)","2nd (2nd leg): 14/03/2018 19:45"
"171","UCL","2017-2018","achtelfinale","1st(1st leg)","Bayern München","Beşiktaş","5:0 (1:0)","1st(1st leg): 20/02/2018 19:45"
"172","UCL","2017-2018","achtelfinale","2nd (2nd leg)","Beşiktaş","Bayern München","1:3 (0:1)","2nd (2nd leg): 14/03/2018 17:00"
"173","UCL","2017-2018","achtelfinale","1st(1st leg)","Sevilla FC","Manchester United","0:0 (0:0)","1st(1st leg): 21/02/2018 19:45"
"174","UCL","2017-2018","achtelfinale","2nd (2nd leg)","Manchester United","Sevilla FC","1:2 (0:0)","2nd (2nd leg): 13/03/2018 19:45"
"175","UCL","2017-2018","achtelfinale","1st(1st leg)","Shakhtar Donetsk","AS Roma","2:1 (0:1)","1st(1st leg): 21/02/2018 19:45"
"176","UCL","2017-2018","achtelfinale","2nd (2nd leg)","AS Roma","Shakhtar Donetsk","1:0 (0:0)","2nd (2nd leg): 13/03/2018 19:45"
"177","UCL","2018-2019","achtelfinale","1st(1st leg)","Manchester United","Paris Saint-Germain","0:2 (0:0)","1st(1st leg): 12/02/2019 20:00"
"178","UCL","2018-2019","achtelfinale","2nd (2nd leg)","Paris Saint-Germain","Manchester United","1:3 (1:2)","2nd (2nd leg): 06/03/2019 20:00"
"179","UCL","2018-2019","achtelfinale","1st(1st leg)","AS Roma","FC Porto","2:1 (0:0)","1st(1st leg): 12/02/2019 20:00"
"180","UCL","2018-2019","achtelfinale","2nd (2nd leg)","FC Porto","AS Roma","3:1 (1:1, 2:1) aet","2nd (2nd leg): 06/03/2019 20:00"
"181","UCL","2018-2019","achtelfinale","1st(1st leg)","Tottenham Hotspur","Borussia Dortmund","3:0 (0:0)","1st(1st leg): 13/02/2019 20:00"
"182","UCL","2018-2019","achtelfinale","2nd (2nd leg)","Borussia Dortmund","Tottenham Hotspur","0:1 (0:0)","2nd (2nd leg): 05/03/2019 20:00"
"183","UCL","2018-2019","achtelfinale","1st(1st leg)","AFC Ajax","Real Madrid","1:2 (0:0)","1st(1st leg): 13/02/2019 20:00"
"184","UCL","2018-2019","achtelfinale","2nd (2nd leg)","Real Madrid","AFC Ajax","1:4 (0:2)","2nd (2nd leg): 05/03/2019 20:00"
"185","UCL","2018-2019","achtelfinale","1st(1st leg)","Olympique Lyon","FC Barcelona","0:0 (0:0)","1st(1st leg): 19/02/2019 20:00"
"186","UCL","2018-2019","achtelfinale","2nd (2nd leg)","FC Barcelona","Olympique Lyon","5:1 (2:0)","2nd (2nd leg): 13/03/2019 20:00"
"187","UCL","2018-2019","achtelfinale","1st(1st leg)","Liverpool FC","Bayern München","0:0 (0:0)","1st(1st leg): 19/02/2019 20:00"
"188","UCL","2018-2019","achtelfinale","2nd (2nd leg)","Bayern München","Liverpool FC","1:3 (1:1)","2nd (2nd leg): 13/03/2019 20:00"
"189","UCL","2018-2019","achtelfinale","1st(1st leg)","FC Schalke 04","Manchester City","2:3 (2:1)","1st(1st leg): 20/02/2019 20:00"
"190","UCL","2018-2019","achtelfinale","2nd (2nd leg)","Manchester City","FC Schalke 04","7:0 (3:0)","2nd (2nd leg): 12/03/2019 20:00"
"191","UCL","2018-2019","achtelfinale","1st(1st leg)","Atlético Madrid","Juventus","2:0 (0:0)","1st(1st leg): 20/02/2019 20:00"
"192","UCL","2018-2019","achtelfinale","2nd (2nd leg)","Juventus","Atlético Madrid","3:0 (1:0)","2nd (2nd leg): 12/03/2019 20:00"
"193","UCL","2007-2008","viertelfinale","1st(1st leg)","AS Roma","Manchester United","0:2 (0:1)","1st(1st leg): 01/04/2008 19:45"
"194","UCL","2007-2008","viertelfinale","2nd (2nd leg)","Manchester United","AS Roma","1:0 (0:0)","2nd (2nd leg): 09/04/2008 19:45"
"195","UCL","2007-2008","viertelfinale","1st(1st leg)","FC Schalke 04","FC Barcelona","0:1 (0:1)","1st(1st leg): 01/04/2008 19:45"
"196","UCL","2007-2008","viertelfinale","2nd (2nd leg)","FC Barcelona","FC Schalke 04","1:0 (1:0)","2nd (2nd leg): 09/04/2008 19:45"
"197","UCL","2007-2008","viertelfinale","1st(1st leg)","Arsenal FC","Liverpool FC","1:1 (1:1)","1st(1st leg): 02/04/2008 19:45"
"198","UCL","2007-2008","viertelfinale","2nd (2nd leg)","Liverpool FC","Arsenal FC","4:2 (1:1)","2nd (2nd leg): 08/04/2008 19:45"
"199","UCL","2007-2008","viertelfinale","1st(1st leg)","Fenerbahçe","Chelsea FC","2:1 (0:1)","1st(1st leg): 02/04/2008 19:45"
"200","UCL","2007-2008","viertelfinale","2nd (2nd leg)","Chelsea FC","Fenerbahçe","2:0 (1:0)","2nd (2nd leg): 08/04/2008 19:45"
"201","UCL","2008-2009","viertelfinale","1st(1st leg)","Houston Dynamo","CF Atlante","1:1 (1:0)","1st(1st leg): 25/02/2009 03:00"
"202","UCL","2008-2009","viertelfinale","2nd (2nd leg)","CF Atlante","Houston Dynamo","3:0 (2:0)","2nd (2nd leg): 04/03/2009 03:00"
"203","UCL","2008-2009","viertelfinale","1st(1st leg)","Impact de Montréal","Santos Laguna","2:0 (1:0)","1st(1st leg): 26/02/2009 01:00"
"204","UCL","2008-2009","viertelfinale","2nd (2nd leg)","Santos Laguna","Impact de Montréal","5:2 (1:2)","2nd (2nd leg): 06/03/2009 03:00"
"205","UCL","2008-2009","viertelfinale","1st(1st leg)","Cruz Azul","Pumas UNAM","1:0 (1:0)","1st(1st leg): 26/02/2009 03:00"
"206","UCL","2008-2009","viertelfinale","2nd (2nd leg)","Pumas UNAM","Cruz Azul","0:1 (0:0)","2nd (2nd leg): 05/03/2009 03:00"
