"","COMP","SEASON","ROUND","LEG","HOMETEAM","AWAYTEAM","RESULT","DATE"
"404","UCL","2001-2002","viertelfinale","1st(1st leg)","Bayern München","Real Madrid","2:1 (0:1)","1st(1st leg): 02/04/2002 20:45"
"405","UCL","2001-2002","viertelfinale","2nd (2nd leg)","Real Madrid","Bayern München","2:0 (0:0)","2nd (2nd leg): 10/04/2002 19:45"
"406","UCL","2001-2002","viertelfinale","1st(1st leg)","Deportivo La Coruña","Manchester United","0:2 (0:2)","1st(1st leg): 02/04/2002 20:45"
"407","UCL","2001-2002","viertelfinale","2nd (2nd leg)","Manchester United","Deportivo La Coruña","3:2 (1:1)","2nd (2nd leg): 10/04/2002 19:45"
"408","UCL","2001-2002","viertelfinale","1st(1st leg)","Panathinaikos","FC Barcelona","1:0 (0:0)","1st(1st leg): 03/04/2002 20:45"
"409","UCL","2001-2002","viertelfinale","2nd (2nd leg)","FC Barcelona","Panathinaikos","3:1 (1:1)","2nd (2nd leg): 09/04/2002 19:45"
"410","UCL","2001-2002","viertelfinale","1st(1st leg)","Liverpool FC","Bayer Leverkusen","1:0 (1:0)","1st(1st leg): 03/04/2002 20:45"
"411","UCL","2001-2002","viertelfinale","2nd (2nd leg)","Bayer Leverkusen","Liverpool FC","4:2 (1:1)","2nd (2nd leg): 09/04/2002 19:45"
"412","UCL","2002-2003","viertelfinale","1st(1st leg)","Real Madrid","Manchester United","3:1 (2:0)","1st(1st leg): 08/04/2003 19:45"
"413","UCL","2002-2003","viertelfinale","2nd (2nd leg)","Manchester United","Real Madrid","4:3 (1:1)","2nd (2nd leg): 23/04/2003 19:45"
"414","UCL","2002-2003","viertelfinale","1st(1st leg)","AFC Ajax","AC Milan","0:0 (0:0)","1st(1st leg): 08/04/2003 19:45"
"415","UCL","2002-2003","viertelfinale","2nd (2nd leg)","AC Milan","AFC Ajax","3:2 (1:0)","2nd (2nd leg): 23/04/2003 19:45"
"416","UCL","2002-2003","viertelfinale","1st(1st leg)","Inter","Valencia CF","1:0 (1:0)","1st(1st leg): 09/04/2003 19:45"
"417","UCL","2002-2003","viertelfinale","2nd (2nd leg)","Valencia CF","Inter","2:1 (1:1)","2nd (2nd leg): 22/04/2003 19:45"
"418","UCL","2002-2003","viertelfinale","1st(1st leg)","Juventus","FC Barcelona","1:1 (1:0)","1st(1st leg): 09/04/2003 19:45"
"419","UCL","2002-2003","viertelfinale","2nd (2nd leg)","FC Barcelona","Juventus","1:2 (0:0, 1:1) aet","2nd (2nd leg): 22/04/2003 19:45"
"420","UCL","2003-2004","viertelfinale","1st(1st leg)","FC Porto","Olympique Lyon","2:0 (1:0)","1st(1st leg): 23/03/2004 19:45"
"421","UCL","2003-2004","viertelfinale","2nd (2nd leg)","Olympique Lyon","FC Porto","2:2 (1:1)","2nd (2nd leg): 07/04/2004 19:45"
"422","UCL","2003-2004","viertelfinale","1st(1st leg)","AC Milan","Deportivo La Coruña","4:1 (1:1)","1st(1st leg): 23/03/2004 19:45"
"423","UCL","2003-2004","viertelfinale","2nd (2nd leg)","Deportivo La Coruña","AC Milan","4:0 (3:0)","2nd (2nd leg): 07/04/2004 19:45"
"424","UCL","2003-2004","viertelfinale","1st(1st leg)","Real Madrid","AS Monaco","4:2 (0:1)","1st(1st leg): 24/03/2004 19:45"
