"","date","country","team","rating"
"1","2000-05-28","Greece","Olympiakos Piräus",1524
"2","2000-05-21","Greece","Olympiakos Piräus",1521
"3","2000-05-14","Greece","Olympiakos Piräus",1518
"4","2000-03-19","Greece","Olympiakos Piräus",1514
"5","2000-09-27","Greece","Olympiakos Piräus",1514
"6","2000-05-08","Greece","Olympiakos Piräus",1513
"7","1999-11-15","Greece","Olympiakos Piräus",1511
"8","2000-01-09","Greece","Olympiakos Piräus",1511
"9","2000-03-26","Greece","Olympiakos Piräus",1511
"10","2000-05-03","Greece","Olympiakos Piräus",1510
"11","2000-09-24","Greece","Olympiakos Piräus",1510
"12","2000-03-12","Greece","Olympiakos Piräus",1509
"13","1997-02-15","Portugal","FC Porto",1509
"14","1995-12-24","Netherlands","AFC Ajax",1508
"15","1999-12-29","Greece","Olympiakos Piräus",1507
"16","1995-12-20","Netherlands","AFC Ajax",1506
"17","2000-04-23","Greece","Olympiakos Piräus",1506
"18","1997-02-08","Portugal","FC Porto",1506
"19","2000-09-20","Greece","Olympiakos Piräus",1505
"20","1995-12-17","Netherlands","AFC Ajax",1504
"21","2000-04-16","Greece","Olympiakos Piräus",1503
"22","1997-01-31","Portugal","FC Porto",1503
"23","1995-11-19","Netherlands","AFC Ajax",1502
"24","1999-12-22","Greece","Olympiakos Piräus",1502
"25","2000-03-04","Greece","Olympiakos Piräus",1502
"26","1995-10-28","Netherlands","AFC Ajax",1501
"27","1998-05-13","Greece","Olympiakos Piräus",1501
"28","1999-11-08","Greece","Olympiakos Piräus",1501
"29","2000-04-12","Greece","Olympiakos Piräus",1501
"30","2000-10-01","Greece","Olympiakos Piräus",1501
"31","1996-02-11","Portugal","FC Porto",1501
"32","1999-12-12","Greece","Olympiakos Piräus",1500
"33","2000-02-27","Greece","Olympiakos Piräus",1500
"34","2000-09-16","Greece","Olympiakos Piräus",1500
"35","1996-03-17","Portugal","FC Porto",1500
"36","1997-01-27","Portugal","FC Porto",1500
"37","1995-11-08","Netherlands","AFC Ajax",1499
"38","1998-05-10","Greece","Olympiakos Piräus",1499
"39","2000-02-20","Greece","Olympiakos Piräus",1498
"40","1996-02-04","Portugal","FC Porto",1498
"41","1996-03-08","Portugal","FC Porto",1498
"42","1997-01-19","Portugal","FC Porto",1498
"43","1998-05-04","Greece","Olympiakos Piräus",1497
"44","1999-12-05","Greece","Olympiakos Piräus",1497
"45","2000-04-03","Greece","Olympiakos Piräus",1497
"46","2000-09-12","Greece","Olympiakos Piräus",1497
"47","2000-02-13","Greece","Olympiakos Piräus",1496
"48","1996-03-03","Portugal","FC Porto",1496
"49","1995-11-05","Netherlands","AFC Ajax",1495
"50","1998-04-12","Greece","Olympiakos Piräus",1495
"51","1999-10-23","Greece","Olympiakos Piräus",1495
"52","2000-11-04","Greece","Olympiakos Piräus",1495
"53","1995-10-25","Netherlands","AFC Ajax",1494
"54","1996-01-27","Portugal","FC Porto",1494
"55","1999-11-29","Greece","Olympiakos Piräus",1493
"56","2000-02-07","Greece","Olympiakos Piräus",1493
"57","1997-01-11","Portugal","FC Porto",1493
"58","1995-10-22","Netherlands","AFC Ajax",1492
"59","1998-04-04","Greece","Olympiakos Piräus",1492
"60","1999-10-15","Greece","Olympiakos Piräus",1492
"61","1996-01-20","Portugal","FC Porto",1492
"62","1996-02-16","Portugal","FC Porto",1492
"63","2000-01-29","Greece","Olympiakos Piräus",1491
"64","1999-11-21","Greece","Olympiakos Piräus",1490
"65","1999-10-03","Greece","Olympiakos Piräus",1489
"66","2000-01-23","Greece","Olympiakos Piräus",1489
"67","1995-12-30","Portugal","FC Porto",1489
"68","1996-01-13","Portugal","FC Porto",1489
"69","1995-12-23","Portugal","FC Porto",1486
"70","1995-10-15","Netherlands","AFC Ajax",1485
"71","1999-05-23","Greece","Olympiakos Piräus",1485
"72","1999-09-25","Greece","Olympiakos Piräus",1485
"73","2000-01-16","Greece","Olympiakos Piräus",1485
"74","2000-10-29","Greece","Olympiakos Piräus",1485
"75","2001-04-30","Greece","Olympiakos Piräus",1485
"76","1999-05-19","Greece","Olympiakos Piräus",1483
"77","1999-09-19","Greece","Olympiakos Piräus",1483
"78","2000-10-25","Greece","Olympiakos Piräus",1483
"79","1997-01-04","Portugal","FC Porto",1482
"80","2001-04-22","Greece","Olympiakos Piräus",1481
"81","1995-12-17","Portugal","FC Porto",1481
"82","1996-03-31","Portugal","FC Porto",1481
"83","1995-10-04","Netherlands","AFC Ajax",1480
"84","1996-01-14","Netherlands","AFC Ajax",1480
"85","1998-03-29","Greece","Olympiakos Piräus",1480
"86","1995-11-05","Portugal","FC Porto",1480
"87","1997-02-23","Portugal","FC Porto",1480
"88","1999-05-02","Greece","Olympiakos Piräus",1479
"89","1999-05-30","Greece","Olympiakos Piräus",1479
"90","1998-01-25","Portugal","FC Porto",1479
"91","1999-05-16","Greece","Olympiakos Piräus",1478
"92","1995-12-10","Portugal","FC Porto",1478
"93","2001-04-08","Greece","Olympiakos Piräus",1477
"94","1996-01-07","Portugal","FC Porto",1477
"95","1996-12-21","Portugal","FC Porto",1477
"96","2007-04-28","Cyprus","APOEL Nikosia",1476
"97","1996-03-23","Portugal","FC Porto",1476
"98","1995-10-01","Netherlands","AFC Ajax",1475
"99","1999-04-25","Greece","Olympiakos Piräus",1475
"100","2000-04-22","Greece","Panathinaikos",1475
"101","1996-04-20","Portugal","FC Porto",1475
"102","1998-01-18","Portugal","FC Porto",1475
"103","1998-08-23","Greece","Olympiakos Piräus",1474
"104","1999-05-12","Greece","Olympiakos Piräus",1474
"105","2001-03-31","Greece","Olympiakos Piräus",1474
"106","1996-02-25","Netherlands","AFC Ajax",1473
"107","1998-03-22","Greece","Olympiakos Piräus",1473
"108","1999-04-18","Greece","Olympiakos Piräus",1473
"109","1999-05-09","Greece","Olympiakos Piräus",1473
"110","2000-10-17","Greece","Olympiakos Piräus",1473
"111","1995-11-26","Portugal","FC Porto",1473
"112","1996-11-29","Portugal","FC Porto",1473
"113","1997-05-24","Portugal","FC Porto",1473
"114","1998-05-18","Greece","Olympiakos Piräus",1472
"115","1998-09-20","Greece","Olympiakos Piräus",1472
"116","1996-04-14","Portugal","FC Porto",1472
"117","1995-09-24","Netherlands","AFC Ajax",1471
"118","1999-01-24","Greece","Olympiakos Piräus",1471
"119","2001-03-17","Greece","Olympiakos Piräus",1471
"120","2000-04-17","Greece","Panathinaikos",1471
"121","1995-10-29","Portugal","FC Porto",1471
"122","1998-01-09","Portugal","FC Porto",1470
"123","1996-11-23","Portugal","FC Porto",1469
"124","1996-01-21","Netherlands","AFC Ajax",1468
"125","1999-01-17","Greece","Olympiakos Piräus",1468
"126","2000-11-07","Greece","Olympiakos Piräus",1468
"127","1995-11-18","Portugal","FC Porto",1468
"128","1996-04-06","Portugal","FC Porto",1468
"129","1997-02-28","Portugal","FC Porto",1468
"130","1997-09-27","Portugal","FC Porto",1468
"131","1995-09-20","Netherlands","AFC Ajax",1467
"132","1998-03-15","Greece","Olympiakos Piräus",1467
"133","1998-09-13","Greece","Olympiakos Piräus",1467
"134","1998-11-09","Greece","Olympiakos Piräus",1467
"135","1999-04-04","Greece","Olympiakos Piräus",1467
"136","2000-11-19","Greece","Olympiakos Piräus",1467
"137","1995-10-22","Portugal","FC Porto",1466
"138","1996-11-16","Portugal","FC Porto",1466
"139","2007-04-22","Cyprus","APOEL Nikosia",1465
"140","1998-03-08","Greece","Olympiakos Piräus",1465
"141","2000-04-12","Greece","Panathinaikos",1465
"142","1997-05-17","Portugal","FC Porto",1465
"143","1997-09-22","Portugal","FC Porto",1465
"144","2000-11-12","Greece","Olympiakos Piräus",1464
"145","2001-03-11","Greece","Olympiakos Piräus",1464
"146","1998-01-03","Portugal","FC Porto",1464
"147","1995-09-17","Netherlands","AFC Ajax",1463
"148","1998-08-30","Greece","Olympiakos Piräus",1463
"149","1996-11-03","Portugal","FC Porto",1463
"150","1998-03-02","Greece","Olympiakos Piräus",1462
"151","1998-12-21","Greece","Olympiakos Piräus",1462
"152","1995-10-15","Portugal","FC Porto",1462
"153","1997-09-13","Portugal","FC Porto",1462
"154","2006-10-29","Cyprus","APOEL Nikosia",1461
"155","2007-04-14","Cyprus","APOEL Nikosia",1461
"156","1998-10-31","Greece","Olympiakos Piräus",1461
"157","2000-12-03","Greece","Olympiakos Piräus",1461
"158","2001-03-04","Greece","Olympiakos Piräus",1461
"159","2000-04-02","Greece","Panathinaikos",1461
"160","1995-09-18","Portugal","FC Porto",1461
"161","1997-10-18","Portugal","FC Porto",1461
"162","1995-09-10","Netherlands","AFC Ajax",1460
"163","1998-02-22","Greece","Olympiakos Piräus",1459
"164","1997-04-11","Portugal","FC Porto",1459
"165","1997-05-11","Portugal","FC Porto",1459
"166","1999-03-22","Greece","Olympiakos Piräus",1458
"167","2001-05-20","Greece","Olympiakos Piräus",1458
"168","1996-10-27","Portugal","FC Porto",1458
"169","1997-08-30","Portugal","FC Porto",1458
"170","1995-08-25","Netherlands","AFC Ajax",1457
"171","2007-03-17","Cyprus","APOEL Nikosia",1457
"172","1998-12-14","Greece","Olympiakos Piräus",1457
"173","2000-11-27","Greece","Olympiakos Piräus",1457
"174","2000-05-28","Greece","Panathinaikos",1457
"175","1997-12-22","Portugal","FC Porto",1457
"176","2001-05-06","Greece","Olympiakos Piräus",1456
"177","1995-09-03","Portugal","FC Porto",1456
"178","1995-10-02","Portugal","FC Porto",1456
"179","1997-12-01","Portugal","FC Porto",1456
"180","1996-03-13","Netherlands","AFC Ajax",1455
"181","2006-10-22","Cyprus","APOEL Nikosia",1455
"182","1998-01-25","Greece","Olympiakos Piräus",1455
"183","1998-12-05","Greece","Olympiakos Piräus",1455
"184","2000-03-26","Greece","Panathinaikos",1455
"185","2000-05-21","Greece","Panathinaikos",1455
"186","1997-04-06","Portugal","FC Porto",1455
"187","1997-05-04","Portugal","FC Porto",1455
"188","1997-10-06","Portugal","FC Porto",1455
"189","2005-01-22","Cyprus","APOEL Nikosia",1454
"190","2000-02-20","Greece","Panathinaikos",1454
"191","1997-08-25","Portugal","FC Porto",1454
"192","1995-08-20","Netherlands","AFC Ajax",1453
"193","2007-03-03","Cyprus","APOEL Nikosia",1453
"194","2009-04-11","Cyprus","APOEL Nikosia",1453
"195","1999-03-13","Greece","Olympiakos Piräus",1453
"196","2000-03-19","Greece","Panathinaikos",1453
"197","2000-05-14","Greece","Panathinaikos",1453
"198","2000-09-16","Greece","Panathinaikos",1453
"199","1996-03-10","Netherlands","AFC Ajax",1452
"200","1996-03-27","Netherlands","AFC Ajax",1452
"201","1998-01-18","Greece","Olympiakos Piräus",1452
"202","1999-12-29","Greece","Panathinaikos",1452
"203","1995-08-27","Portugal","FC Porto",1452
"204","1996-04-28","Portugal","FC Porto",1452
"205","1997-03-23","Portugal","FC Porto",1452
"206","1997-12-13","Portugal","FC Porto",1452
"207","1998-04-23","Netherlands","AFC Ajax",1451
"208","2006-10-15","Cyprus","APOEL Nikosia",1451
"209","2006-11-18","Cyprus","APOEL Nikosia",1451
"210","2009-05-01","Cyprus","APOEL Nikosia",1451
"211","2011-04-27","Spain","FC Barcelona",1451
"212","1998-10-25","Greece","Olympiakos Piräus",1451
"213","2000-11-23","Greece","Olympiakos Piräus",1451
"214","2001-02-26","Greece","Olympiakos Piräus",1451
"215","1996-10-20","Portugal","FC Porto",1451
"216","1997-04-25","Portugal","FC Porto",1451
"217","1997-10-31","Portugal","FC Porto",1451
"218","1997-11-22","Portugal","FC Porto",1451
"219","1995-05-28","Netherlands","AFC Ajax",1450
"220","2007-02-18","Cyprus","APOEL Nikosia",1450
"221","1998-01-11","Greece","Olympiakos Piräus",1450
"222","1999-03-08","Greece","Olympiakos Piräus",1450
"223","2000-03-12","Greece","Panathinaikos",1450
"224","1995-09-23","Portugal","FC Porto",1450
"225","1996-03-24","Netherlands","AFC Ajax",1449
"226","2006-11-05","Cyprus","APOEL Nikosia",1449
"227","2006-12-04","Cyprus","APOEL Nikosia",1449
"228","2007-09-02","Cyprus","APOEL Nikosia",1449
"229","1999-12-22","Greece","Panathinaikos",1449
"230","2000-05-08","Greece","Panathinaikos",1449
"231","1998-01-31","Portugal","FC Porto",1449
"232","2005-01-15","Cyprus","APOEL Nikosia",1448
"233","2007-05-05","Cyprus","APOEL Nikosia",1448
"234","1997-12-01","Greece","Olympiakos Piräus",1448
"235","1998-02-15","Greece","Olympiakos Piräus",1448
"236","1999-01-31","Greece","Olympiakos Piräus",1448
"237","1997-06-15","Portugal","FC Porto",1448
"238","1996-03-03","Netherlands","AFC Ajax",1447
"239","2005-02-27","Cyprus","APOEL Nikosia",1447
"240","2006-12-16","Cyprus","APOEL Nikosia",1447
"241","2009-04-25","Cyprus","APOEL Nikosia",1447
"242","1998-01-04","Greece","Olympiakos Piräus",1447
"243","1999-02-27","Greece","Olympiakos Piräus",1447
"244","2000-02-13","Greece","Panathinaikos",1447
"245","2000-09-13","Greece","Panathinaikos",1447
"246","1995-08-20","Portugal","FC Porto",1447
"247","1997-04-20","Portugal","FC Porto",1447
"248","1998-04-19","Netherlands","AFC Ajax",1446
"249","2005-02-13","Cyprus","APOEL Nikosia",1446
"250","2009-05-10","Cyprus","APOEL Nikosia",1446
"251","1998-10-04","Greece","Olympiakos Piräus",1446
"252","2000-05-03","Greece","Panathinaikos",1446
"253","1996-05-12","Portugal","FC Porto",1446
"254","1997-03-15","Portugal","FC Porto",1446
"255","1997-05-31","Portugal","FC Porto",1446
"256","2005-01-09","Cyprus","APOEL Nikosia",1445
"257","2006-11-25","Cyprus","APOEL Nikosia",1445
"258","1996-09-21","Portugal","FC Porto",1445
"259","1997-11-08","Portugal","FC Porto",1445
"260","1996-04-28","Netherlands","AFC Ajax",1444
"261","2005-01-29","Cyprus","APOEL Nikosia",1444
"262","2006-09-30","Cyprus","APOEL Nikosia",1444
"263","1997-12-21","Greece","Olympiakos Piräus",1444
"264","2001-05-27","Greece","Olympiakos Piräus",1444
"265","1999-12-13","Greece","Panathinaikos",1444
"266","2000-03-05","Greece","Panathinaikos",1444
"267","1996-10-12","Portugal","FC Porto",1444
"268","1995-05-18","Netherlands","AFC Ajax",1443
"269","1998-04-11","Netherlands","AFC Ajax",1443
"270","2007-02-14","Cyprus","APOEL Nikosia",1443
"271","1998-02-09","Greece","Olympiakos Piräus",1443
"272","1998-09-26","Greece","Olympiakos Piräus",1443
"273","1996-05-19","Greece","Panathinaikos",1443
"274","1997-12-05","Portugal","FC Porto",1443
"275","2005-02-19","Cyprus","APOEL Nikosia",1442
"276","2009-04-06","Cyprus","APOEL Nikosia",1442
"277","2011-04-12","Spain","FC Barcelona",1442
"278","1998-11-29","Greece","Olympiakos Piräus",1442
"279","2001-02-18","Greece","Olympiakos Piräus",1442
"280","1996-09-15","Portugal","FC Porto",1442
"281","1996-03-17","Netherlands","AFC Ajax",1441
"282","1999-02-22","Greece","Olympiakos Piräus",1441
"283","1996-04-21","Netherlands","AFC Ajax",1440
"284","2006-08-28","Cyprus","APOEL Nikosia",1440
"285","2001-09-22","Greece","Olympiakos Piräus",1440
"286","2000-02-28","Greece","Panathinaikos",1440
"287","1996-05-05","Portugal","FC Porto",1440
"288","2006-09-23","Cyprus","APOEL Nikosia",1439
"289","2011-04-23","Spain","FC Barcelona",1439
"290","1997-12-14","Greece","Olympiakos Piräus",1439
"291","2000-12-17","Greece","Olympiakos Piräus",1439
"292","2001-02-11","Greece","Olympiakos Piräus",1439
"293","1999-11-21","Greece","Panathinaikos",1439
"294","2004-12-18","Cyprus","APOEL Nikosia",1438
"295","2011-02-05","Spain","FC Barcelona",1438
"296","1998-11-22","Greece","Olympiakos Piräus",1438
"297","1999-02-14","Greece","Olympiakos Piräus",1438
"298","1996-09-07","Portugal","FC Porto",1438
"299","1998-04-26","Portugal","FC Porto",1438
"300","1996-08-21","Netherlands","AFC Ajax",1437
"301","2007-01-27","Cyprus","APOEL Nikosia",1437
"302","2011-04-16","Spain","FC Barcelona",1437
"303","1997-11-23","Greece","Olympiakos Piräus",1437
"304","1996-05-12","Greece","Panathinaikos",1437
"305","2000-02-06","Greece","Panathinaikos",1437
"306","1995-05-28","Portugal","FC Porto",1437
"307","2000-01-23","Portugal","FC Porto",1437
"308","1998-04-08","Netherlands","AFC Ajax",1436
"309","2011-01-29","Spain","FC Barcelona",1436
"310","1997-12-07","Greece","Olympiakos Piräus",1436
"311","1998-02-02","Greece","Olympiakos Piräus",1436
"312","1996-09-29","Greece","Panathinaikos",1436
"313","1999-12-05","Greece","Panathinaikos",1436
"314","2000-09-26","Greece","Panathinaikos",1436
"315","1996-04-13","Netherlands","AFC Ajax",1435
"316","2004-10-23","Cyprus","APOEL Nikosia",1435
"317","2006-09-16","Cyprus","APOEL Nikosia",1435
"318","2001-09-18","Greece","Olympiakos Piräus",1435
"319","1996-04-06","Netherlands","AFC Ajax",1434
"320","2011-01-22","Spain","FC Barcelona",1434
"321","1999-02-08","Greece","Olympiakos Piräus",1434
"322","2000-12-11","Greece","Olympiakos Piräus",1434
"323","2000-01-30","Greece","Panathinaikos",1434
"324","2000-09-23","Greece","Panathinaikos",1434
"325","1995-05-14","Netherlands","AFC Ajax",1433
"326","2004-12-11","Cyprus","APOEL Nikosia",1433
"327","2007-01-21","Cyprus","APOEL Nikosia",1433
"328","2007-09-23","Cyprus","APOEL Nikosia",1433
"329","2008-01-20","Italy","Inter",1433
"330","1996-03-16","Greece","Panathinaikos",1433
"331","1996-08-25","Portugal","FC Porto",1433
"332","1996-09-29","Portugal","FC Porto",1433
"333","1998-04-05","Netherlands","AFC Ajax",1432
"334","2011-01-16","Spain","FC Barcelona",1432
"335","2001-02-03","Greece","Olympiakos Piräus",1432
"336","1996-05-05","Greece","Panathinaikos",1432
"337","1995-05-21","Portugal","FC Porto",1432
"338","1996-05-05","Netherlands","AFC Ajax",1431
"339","1998-05-03","Netherlands","AFC Ajax",1431
"340","2009-03-22","Cyprus","APOEL Nikosia",1431
"341","1996-01-28","Greece","Panathinaikos",1431
"342","1996-09-15","Greece","Panathinaikos",1431
"343","2000-01-23","Greece","Panathinaikos",1431
"344","1996-04-08","Netherlands","AFC Ajax",1430
"345","2006-09-09","Cyprus","APOEL Nikosia",1430
"346","2007-01-13","Cyprus","APOEL Nikosia",1430
"347","2011-01-08","Spain","FC Barcelona",1430
"348","2011-04-09","Spain","FC Barcelona",1430
"349","2008-01-13","Italy","Inter",1430
"350","2008-02-16","Italy","Inter",1430
"351","1997-09-14","Greece","Olympiakos Piräus",1430
"352","1996-03-10","Greece","Panathinaikos",1430
"353","1999-11-29","Greece","Panathinaikos",1430
"354","2000-09-19","Greece","Panathinaikos",1430
"355","1998-03-14","Portugal","FC Porto",1430
"356","2000-02-05","Portugal","FC Porto",1430
"357","2004-11-07","Cyprus","APOEL Nikosia",1429
"358","2007-09-15","Cyprus","APOEL Nikosia",1429
"359","1997-11-16","Greece","Olympiakos Piräus",1429
"360","2000-12-07","Greece","Olympiakos Piräus",1429
"361","1998-04-18","Portugal","FC Porto",1429
"362","1995-05-10","Netherlands","AFC Ajax",1428
"363","2011-01-02","Spain","FC Barcelona",1428
"364","2011-04-06","Spain","FC Barcelona",1428
"365","2007-12-23","Italy","Inter",1428
"366","2001-01-28","Greece","Olympiakos Piräus",1428
"367","1998-09-13","Greece","Panathinaikos",1428
"368","1998-10-31","Greece","Panathinaikos",1428
"369","2000-01-17","Portugal","FC Porto",1428
"370","1996-03-30","Netherlands","AFC Ajax",1427
"371","1998-04-26","Netherlands","AFC Ajax",1427
"372","2010-12-18","Spain","FC Barcelona",1427
"373","2008-02-10","Italy","Inter",1427
"374","1997-10-05","Greece","Olympiakos Piräus",1427
"375","1996-01-21","Greece","Panathinaikos",1427
"376","2000-01-17","Greece","Panathinaikos",1427
"377","1995-05-14","Portugal","FC Porto",1427
"378","1998-02-15","Portugal","FC Porto",1427
"379","2004-11-21","Cyprus","APOEL Nikosia",1426
"380","2006-08-13","Cyprus","APOEL Nikosia",1426
"381","1996-04-28","Greece","Panathinaikos",1426
"382","1996-09-07","Greece","Panathinaikos",1426
"383","2009-03-14","Cyprus","APOEL Nikosia",1425
"384","1997-08-31","Greece","Olympiakos Piräus",1425
"385","1996-03-02","Greece","Panathinaikos",1425
"386","2000-10-01","Greece","Panathinaikos",1425
"387","1998-03-06","Portugal","FC Porto",1425
"388","2000-01-30","Portugal","FC Porto",1425
"389","2011-03-08","Ukraine","Shakhtar Donetsk",1425
"390","1995-05-03","Netherlands","AFC Ajax",1424
"391","1997-12-14","Netherlands","AFC Ajax",1424
"392","2007-01-06","Cyprus","APOEL Nikosia",1424
"393","2011-02-12","Spain","FC Barcelona",1424
"394","2008-02-03","Italy","Inter",1424
"395","1996-03-24","Greece","Panathinaikos",1424
"396","1998-10-26","Greece","Panathinaikos",1424
"397","2000-01-08","Portugal","FC Porto",1424
"398","2004-10-30","Cyprus","APOEL Nikosia",1423
"399","2004-12-04","Cyprus","APOEL Nikosia",1423
"400","2007-11-25","Cyprus","APOEL Nikosia",1423
"401","2007-12-08","Cyprus","APOEL Nikosia",1423
"402","2009-03-08","Cyprus","APOEL Nikosia",1423
"403","2010-12-12","Spain","FC Barcelona",1423
"404","1997-05-25","Greece","Olympiakos Piräus",1423
"405","2001-01-21","Greece","Olympiakos Piräus",1423
"406","1997-01-12","Greece","Panathinaikos",1423
"407","1997-01-19","Greece","Panathinaikos",1423
"408","2000-01-08","Greece","Panathinaikos",1423
"409","1998-05-10","Portugal","FC Porto",1423
"410","1997-12-06","Netherlands","AFC Ajax",1422
"411","2006-01-14","Cyprus","APOEL Nikosia",1422
"412","1997-11-09","Greece","Olympiakos Piräus",1422
"413","1996-01-14","Greece","Panathinaikos",1422
"414","1998-08-30","Greece","Panathinaikos",1422
"415","1998-02-09","Portugal","FC Porto",1422
"416","2004-03-28","Portugal","FC Porto",1422
"417","2011-05-01","Portugal","FC Porto",1422
"418","1995-04-16","Netherlands","AFC Ajax",1421
"419","1998-03-29","Netherlands","AFC Ajax",1421
"420","2004-10-16","Cyprus","APOEL Nikosia",1421
"421","2006-03-25","Cyprus","APOEL Nikosia",1421
"422","2008-01-27","Italy","Inter",1421
"423","1996-02-04","Greece","Panathinaikos",1421
"424","1996-05-29","Greece","Panathinaikos",1421
"425","1995-05-07","Portugal","FC Porto",1421
"426","1998-04-11","Portugal","FC Porto",1421
"427","1995-03-26","Netherlands","AFC Ajax",1420
"428","2007-10-21","Cyprus","APOEL Nikosia",1420
"429","2010-12-07","Spain","FC Barcelona",1420
"430","2011-04-30","Spain","FC Barcelona",1420
"431","2007-12-16","Italy","Inter",1420
"432","1997-09-28","Greece","Olympiakos Piräus",1420
"433","2001-01-15","Greece","Olympiakos Piräus",1420
"434","1997-01-05","Greece","Panathinaikos",1420
"435","1998-11-22","Greece","Panathinaikos",1420
"436","1998-03-01","Portugal","FC Porto",1420
"437","2011-04-28","Portugal","FC Porto",1420
"438","2004-10-03","Cyprus","APOEL Nikosia",1419
"439","2005-03-05","Cyprus","APOEL Nikosia",1419
"440","2013-01-13","Spain","FC Barcelona",1419
"441","2018-01-28","Spain","FC Barcelona",1419
"442","1998-10-05","Greece","Panathinaikos",1419
"443","1999-11-08","Greece","Panathinaikos",1419
"444","1995-04-16","Portugal","FC Porto",1419
"445","2012-04-04","Spain","Real Madrid",1419
"446","2012-05-13","Spain","Real Madrid",1419
"447","2011-03-03","Ukraine","Shakhtar Donetsk",1419
"448","2006-01-07","Cyprus","APOEL Nikosia",1418
"449","2007-11-11","Cyprus","APOEL Nikosia",1418
"450","2009-08-30","Cyprus","APOEL Nikosia",1418
"451","2011-05-08","Spain","FC Barcelona",1418
"452","2007-12-12","Italy","Inter",1418
"453","2001-09-30","Greece","Olympiakos Piräus",1418
"454","1996-02-25","Greece","Panathinaikos",1418
"455","1996-11-18","Greece","Panathinaikos",1418
"456","1998-08-23","Greece","Panathinaikos",1418
"457","1999-05-16","Portugal","FC Porto",1418
"458","2004-03-23","Portugal","FC Porto",1418
"459","1997-12-03","Netherlands","AFC Ajax",1417
"460","1998-09-09","Netherlands","AFC Ajax",1417
"461","1997-11-02","Greece","Olympiakos Piräus",1417
"462","2001-01-07","Greece","Olympiakos Piräus",1417
"463","1998-04-03","Portugal","FC Porto",1417
"464","1999-05-30","Portugal","FC Porto",1417
"465","1999-12-20","Portugal","FC Porto",1417
"466","2000-02-13","Portugal","FC Porto",1417
"467","1995-04-09","Netherlands","AFC Ajax",1416
"468","1996-08-28","Netherlands","AFC Ajax",1416
"469","1998-03-22","Netherlands","AFC Ajax",1416
"470","2004-11-27","Cyprus","APOEL Nikosia",1416
"471","2011-03-08","Spain","FC Barcelona",1416
"472","2018-01-21","Spain","FC Barcelona",1416
"473","1997-05-18","Greece","Olympiakos Piräus",1416
"474","1996-05-26","Greece","Panathinaikos",1416
"475","1997-01-15","Greece","Panathinaikos",1416
"476","1998-02-20","Portugal","FC Porto",1416
"477","1998-05-02","Portugal","FC Porto",1416
"478","2003-04-19","Portugal","FC Porto",1416
"479","2004-03-05","Portugal","FC Porto",1416
"480","2012-03-14","Spain","Real Madrid",1416
"481","2006-03-19","Cyprus","APOEL Nikosia",1415
"482","2007-11-04","Cyprus","APOEL Nikosia",1415
"483","2011-05-03","Spain","FC Barcelona",1415
"484","1996-01-06","Greece","Panathinaikos",1415
"485","1996-12-01","Greece","Panathinaikos",1415
"486","1996-12-21","Greece","Panathinaikos",1415
"487","1999-05-08","Portugal","FC Porto",1415
"488","2012-05-05","Spain","Real Madrid",1415
"489","1997-11-30","Netherlands","AFC Ajax",1414
"490","1998-08-28","Netherlands","AFC Ajax",1414
"491","2010-12-04","Spain","FC Barcelona",1414
"492","2001-09-25","Greece","Olympiakos Piräus",1414
"493","1998-05-17","Greece","Panathinaikos",1414
"494","1998-09-26","Greece","Panathinaikos",1414
"495","1998-11-08","Greece","Panathinaikos",1414
"496","1999-10-31","Greece","Panathinaikos",1414
"497","1995-04-09","Portugal","FC Porto",1414
"498","1998-12-19","Portugal","FC Porto",1414
"499","1999-09-24","Portugal","FC Porto",1414
"500","2011-04-17","Portugal","FC Porto",1414
"501","2012-04-14","Spain","Real Madrid",1414
"502","2005-04-03","Cyprus","APOEL Nikosia",1413
"503","2007-10-07","Cyprus","APOEL Nikosia",1413
"504","2011-03-05","Spain","FC Barcelona",1413
"505","2011-04-02","Spain","FC Barcelona",1413
"506","2013-01-06","Spain","FC Barcelona",1413
"507","2018-01-14","Spain","FC Barcelona",1413
"508","1997-10-26","Greece","Olympiakos Piräus",1413
"509","2001-01-03","Greece","Olympiakos Piräus",1413
"510","1996-02-18","Greece","Panathinaikos",1413
"511","1996-04-10","Greece","Panathinaikos",1413
"512","1996-10-20","Greece","Panathinaikos",1413
"513","1999-12-13","Portugal","FC Porto",1413
"514","2004-01-24","Portugal","FC Porto",1413
"515","2004-03-01","Portugal","FC Porto",1413
"516","2011-02-16","Ukraine","Shakhtar Donetsk",1413
"517","2004-09-26","Cyprus","APOEL Nikosia",1412
"518","2007-12-15","Cyprus","APOEL Nikosia",1412
"519","2010-11-29","Spain","FC Barcelona",1412
"520","2000-10-18","Greece","Panathinaikos",1412
"521","1998-03-29","Portugal","FC Porto",1412
"522","1999-02-05","Portugal","FC Porto",1412
"523","1999-05-02","Portugal","FC Porto",1412
"524","1999-08-21","Portugal","FC Porto",1412
"525","2012-04-11","Spain","Real Madrid",1412
"526","2012-05-02","Spain","Real Madrid",1412
"527","1998-03-14","Netherlands","AFC Ajax",1411
"528","2005-12-18","Cyprus","APOEL Nikosia",1411
"529","2007-12-02","Cyprus","APOEL Nikosia",1411
"530","2012-12-22","Spain","FC Barcelona",1411
"531","2015-05-09","Spain","FC Barcelona",1411
"532","2007-12-09","Italy","Inter",1411
