"","COMP","SEASON","ROUND","LEG","DATE","HOMETEAM","AWAYTEAM","FTHG","FTAG","HTHG","HTAG","ETHG","ETAG","PTHG","PTAG","LEG_ID","TYPE"
"47","UCL","2002-2003","R8","1",2003-04-09,"Inter","Valencia CF",1,0,1,0,NA,NA,NA,NA,24,"AGR"
"48","UCL","2002-2003","R8","2",2003-04-22,"Valencia CF","Inter",2,1,1,1,NA,NA,NA,NA,24,"AGR"
"49","UCL","2001-2002","R4","1",2002-04-24,"Manchester United","Bayer Leverkusen",2,2,1,0,NA,NA,NA,NA,25,"AGR"
"50","UCL","2001-2002","R4","2",2002-04-30,"Bayer Leverkusen","Manchester United",1,1,1,1,NA,NA,NA,NA,25,"AGR"
"51","UCL","2002-2003","R4","1",2003-05-07,"AC Milan","Inter",0,0,0,0,NA,NA,NA,NA,26,"AGR"
"52","UCL","2002-2003","R4","2",2003-05-13,"Inter","AC Milan",1,1,0,1,NA,NA,NA,NA,26,"AGR"
"53","UCL","2003-2004","R8","1",2004-03-24,"Real Madrid","AS Monaco",4,2,0,1,NA,NA,NA,NA,27,"AGR"
"54","UCL","2003-2004","R8","2",2004-04-06,"AS Monaco","Real Madrid",3,1,1,1,NA,NA,NA,NA,27,"AGR"
"55","UCL","2005-2006","R8","1",2006-03-29,"Inter","Villarreal CF",2,1,1,1,NA,NA,NA,NA,28,"AGR"
"56","UCL","2005-2006","R8","2",2006-04-04,"Villarreal CF","Inter",1,0,0,0,NA,NA,NA,NA,28,"AGR"
"57","UCL","2004-2005","R4","1",2005-04-26,"AC Milan","PSV Eindhoven",2,0,1,0,NA,NA,NA,NA,29,"AGR"
"58","UCL","2004-2005","R4","2",2005-05-04,"PSV Eindhoven","AC Milan",3,1,1,0,NA,NA,NA,NA,29,"AGR"
"59","UCL","2008-2009","R16","1",2009-02-24,"Atlético Madrid","FC Porto",2,2,2,1,NA,NA,NA,NA,30,"AGR"
"60","UCL","2008-2009","R16","2",2009-03-11,"FC Porto","Atlético Madrid",0,0,0,0,NA,NA,NA,NA,30,"AGR"
"61","UCL","2009-2010","R16","1",2010-02-17,"Bayern München","ACF Fiorentina",2,1,1,0,NA,NA,NA,NA,31,"AGR"
"62","UCL","2009-2010","R16","2",2010-03-09,"ACF Fiorentina","Bayern München",3,2,1,0,NA,NA,NA,NA,31,"AGR"
"63","UCL","2010-2011","R16","1",2011-02-23,"Inter","Bayern München",0,1,0,0,NA,NA,NA,NA,32,"AGR"
"64","UCL","2010-2011","R16","2",2011-03-15,"Bayern München","Inter",2,3,2,1,NA,NA,NA,NA,32,"AGR"
"65","UCL","2011-2012","R16","1",2012-02-22,"Olympique Marseille","Inter",1,0,0,0,NA,NA,NA,NA,33,"AGR"
"66","UCL","2011-2012","R16","2",2012-03-13,"Inter","Olympique Marseille",2,1,0,0,NA,NA,NA,NA,33,"AGR"
"67","UCL","2012-2013","R16","1",2013-02-19,"Arsenal FC","Bayern München",1,3,0,2,NA,NA,NA,NA,34,"AGR"
"68","UCL","2012-2013","R16","2",2013-03-13,"Bayern München","Arsenal FC",0,2,0,1,NA,NA,NA,NA,34,"AGR"
"69","UCL","2014-2015","R16","1",2015-02-25,"Arsenal FC","AS Monaco",1,3,0,1,NA,NA,NA,NA,35,"AGR"
"70","UCL","2014-2015","R16","2",2015-03-17,"AS Monaco","Arsenal FC",0,2,0,1,NA,NA,NA,NA,35,"AGR"
"71","UCL","2016-2017","R16","1",2017-02-21,"Manchester City","AS Monaco",5,3,1,2,NA,NA,NA,NA,36,"AGR"
"72","UCL","2016-2017","R16","2",2017-03-15,"AS Monaco","Manchester City",3,1,2,0,NA,NA,NA,NA,36,"AGR"
"73","UCL","2017-2018","R16","1",2018-02-21,"Shakhtar Donetsk","AS Roma",2,1,0,1,NA,NA,NA,NA,37,"AGR"
"74","UCL","2017-2018","R16","2",2018-03-13,"AS Roma","Shakhtar Donetsk",1,0,0,0,NA,NA,NA,NA,37,"AGR"
"75","UCL","2018-2019","R16","1",2019-02-12,"Manchester United","Paris Saint-Germain",0,2,0,0,NA,NA,NA,NA,38,"AGR"
