"","COMP","SEASON","ROUND","TEAM1","TEAM2","WINNER","L1D","L2D","TYPE","LEG_ID","T1G","T2G","G1_ID","G2_ID"
"204","UCL","2011-2012","R8","AC Milan","FC Barcelona","FC Barcelona",2012-03-28,2012-04-03,"G","G158",1,3,415,416
"205","UCL","2012-2013","R8","Bayern München","Juventus","Bayern München",2013-04-02,2013-04-10,"G","G159",4,0,417,418
"206","UCL","2012-2013","R8","Málaga CF","Borussia Dortmund","Borussia Dortmund",2013-04-03,2013-04-09,"G","G160",2,3,419,420
"207","UCL","2012-2013","R8","Real Madrid","Galatasaray","Real Madrid",2013-04-03,2013-04-09,"G","G161",5,3,421,422
"208","UCL","2013-2014","R8","FC Barcelona","Atlético Madrid","Atlético Madrid",2014-04-01,2014-04-09,"G","G162",1,2,423,424
"209","UCL","2013-2014","R8","Manchester United","Bayern München","Bayern München",2014-04-01,2014-04-09,"G","G163",2,4,425,426
"210","UCL","2013-2014","R8","Real Madrid","Borussia Dortmund","Real Madrid",2014-04-02,2014-04-08,"G","G164",3,2,427,428
"211","UCL","2014-2015","R8","Atlético Madrid","Real Madrid","Real Madrid",2015-04-14,2015-04-22,"G","G165",0,1,429,430
"212","UCL","2014-2015","R8","Juventus","AS Monaco","Juventus",2015-04-14,2015-04-22,"G","G166",1,0,431,432
"213","UCL","2014-2015","R8","Paris Saint-Germain","FC Barcelona","FC Barcelona",2015-04-15,2015-04-21,"G","G167",1,5,433,434
"214","UCL","2014-2015","R8","FC Porto","Bayern München","Bayern München",2015-04-15,2015-04-21,"G","G168",4,7,435,436
"215","UCL","2015-2016","R8","Bayern München","SL Benfica","Bayern München",2016-04-05,2016-04-13,"G","G169",3,2,437,438
"216","UCL","2015-2016","R8","FC Barcelona","Atlético Madrid","Atlético Madrid",2016-04-05,2016-04-13,"G","G170",2,3,439,440
"217","UCL","2015-2016","R8","VfL Wolfsburg","Real Madrid","Real Madrid",2016-04-06,2016-04-12,"G","G171",2,3,441,442
"218","UCL","2015-2016","R8","Paris Saint-Germain","Manchester City","Manchester City",2016-04-06,2016-04-12,"G","G172",2,3,443,444
"219","UCL","2016-2017","R8","Juventus","FC Barcelona","Juventus",2017-04-11,2017-04-19,"G","G173",3,0,445,446
"220","UCL","2016-2017","R8","Borussia Dortmund","AS Monaco","AS Monaco",2017-04-12,2017-04-19,"G","G174",3,6,447,448
"221","UCL","2016-2017","R8","Atlético Madrid","Leicester City","Atlético Madrid",2017-04-12,2017-04-18,"G","G175",2,1,449,450
"222","UCL","2017-2018","R8","Sevilla FC","Bayern München","Bayern München",2018-04-03,2018-04-11,"G","G176",1,2,451,452
"223","UCL","2017-2018","R8","Juventus","Real Madrid","Real Madrid",2018-04-03,2018-04-11,"G","G177",3,4,453,454
"224","UCL","2017-2018","R8","Liverpool FC","Manchester City","Liverpool FC",2018-04-04,2018-04-10,"G","G178",5,1,455,456
"225","UCL","2018-2019","R8","Liverpool FC","FC Porto","Liverpool FC",2019-04-09,2019-04-17,"G","G179",6,1,457,458
"226","UCL","2018-2019","R8","AFC Ajax","Juventus","AFC Ajax",2019-04-10,2019-04-16,"G","G180",3,2,459,460
"227","UCL","2018-2019","R8","Manchester United","FC Barcelona","FC Barcelona",2019-04-10,2019-04-16,"G","G181",0,4,461,462
"228","UCL","2007-2008","R4","FC Barcelona","Manchester United","Manchester United",2008-04-23,2008-04-29,"G","G182",0,1,463,464
"229","UCL","2008-2009","R4","Manchester United","Arsenal FC","Manchester United",2009-04-29,2009-05-05,"G","G183",4,1,465,466
"230","UCL","2009-2010","R4","Inter","FC Barcelona","Inter",2010-04-20,2010-04-28,"G","G184",3,2,467,468
"231","UCL","2009-2010","R4","Bayern München","Olympique Lyon","Bayern München",2010-04-21,2010-04-27,"G","G185",4,0,469,470
"232","UCL","2010-2011","R4","FC Schalke 04","Manchester United","Manchester United",2011-04-26,2011-05-04,"G","G186",1,6,471,472
"233","UCL","2010-2011","R4","Real Madrid","FC Barcelona","FC Barcelona",2011-04-27,2011-05-03,"G","G187",1,3,473,474
"234","UCL","2011-2012","R4","Chelsea FC","FC Barcelona","Chelsea FC",2012-04-18,2012-04-24,"G","G188",3,2,475,476
"235","UCL","2012-2013","R4","Bayern München","FC Barcelona","Bayern München",2013-04-23,2013-05-01,"G","G189",7,0,477,478
"236","UCL","2012-2013","R4","Borussia Dortmund","Real Madrid","Borussia Dortmund",2013-04-24,2013-04-30,"G","G190",4,3,479,480
"237","UCL","2013-2014","R4","Atlético Madrid","Chelsea FC","Atlético Madrid",2014-04-22,2014-04-30,"G","G191",3,1,481,482
"238","UCL","2013-2014","R4","Real Madrid","Bayern München","Real Madrid",2014-04-23,2014-04-29,"G","G192",5,0,483,484
"239","UCL","2014-2015","R4","Juventus","Real Madrid","Juventus",2015-05-05,2015-05-13,"G","G193",3,2,485,486
"240","UCL","2014-2015","R4","FC Barcelona","Bayern München","FC Barcelona",2015-05-06,2015-05-12,"G","G194",5,3,487,488
"241","UCL","2015-2016","R4","Manchester City","Real Madrid","Real Madrid",2016-04-26,2016-05-04,"G","G195",0,1,489,490
"242","UCL","2016-2017","R4","Real Madrid","Atlético Madrid","Real Madrid",2017-05-02,2017-05-10,"G","G196",4,2,491,492
"243","UCL","2016-2017","R4","AS Monaco","Juventus","Juventus",2017-05-03,2017-05-09,"G","G197",1,4,493,494
"244","UCL","2017-2018","R4","Liverpool FC","AS Roma","Liverpool FC",2018-04-24,2018-05-02,"G","G198",7,6,495,496
"245","UCL","2017-2018","R4","Bayern München","Real Madrid","Real Madrid",2018-04-25,2018-05-01,"G","G199",3,4,497,498
"246","UCL","2018-2019","R4","FC Barcelona","Liverpool FC","Liverpool FC",2019-05-01,2019-05-07,"G","G200",3,4,499,500
